;Verknüfungen:;;;;
;;;;;
;Arbeitsdienste;;;;
;AD_ID;AT_ID;Faelligkeit;;
Tiana;1;1;2022-04-27;Futterdienste;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (1, 1, '2022-04-27');"
Avery;2;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (2, 1, '');"
Walburga;3;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (3, 1, '');"
Walburga;4;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (4, 1, '');"
Lola;5;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (5, 1, '');"
Belle;6;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (6, 1, '');"
Diego;7;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (7, 1, '');"
Variana;8;1;;Fütterung carnivor 1x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (8, 1, '');"
Stonki;9;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (9, 3, '');"
Stonki;10;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (10, 3, '');"
Wutz;11;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (11, 3, '');"
Lord;12;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (12, 3, '');"
Lord;13;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (13, 3, '');"
Lord;14;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (14, 3, '');"
Blue;15;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (15, 3, '');"
Blue;16;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (16, 3, '');"
Blue;17;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (17, 3, '');"
Yoshie;18;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (18, 3, '');"
Yoshie;19;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (19, 3, '');"
Faxe;20;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (20, 3, '');"
Faxe;21;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (21, 3, '');"
Faxe;22;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (22, 3, '');"
Snore;23;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (23, 3, '');"
Snore;24;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (24, 3, '');"
Snore;25;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (25, 3, '');"
Sparta;26;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (26, 3, '');"
Sparta;27;3;;Fütterung carnivor 3x/Woche;"INSERT INTO Arbeitsdienste (AD_ID, AT_ID, Faelligkeit) VALUES (27, 3, '');"
